,id,username,year,overarching_category,num_solved
170,1334,Freddrickk,2018,Misc,4
171,1334,Freddrickk,2018,Pwn,11
172,1334,Freddrickk,2018,Rev,24
173,1334,Freddrickk,2018,Web,23
174,1334,Freddrickk,2019,Web,1
175,1334,Freddrickk,2020,Crypt,1
176,1334,Freddrickk,2020,Misc,1
177,1334,Freddrickk,2020,Pwn,2
178,1334,Freddrickk,2020,Rev,7
179,1334,Freddrickk,2020,Web,5
180,1512,cyberguru,2015,Crypt,12
181,1512,cyberguru,2015,Forensics,28
182,1512,cyberguru,2015,Misc,22
183,1512,cyberguru,2015,Pwn,25
184,1512,cyberguru,2015,Rev,22
185,1512,cyberguru,2015,Web,54
186,1512,cyberguru,2016,Crypt,4
187,1512,cyberguru,2016,Forensics,10
188,1512,cyberguru,2016,Misc,4
189,1512,cyberguru,2016,Pwn,23
190,1512,cyberguru,2016,Rev,6
191,1512,cyberguru,2016,Web,11
192,1512,cyberguru,2017,Crypt,2
193,1512,cyberguru,2017,Forensics,5
194,1512,cyberguru,2017,Pwn,4
195,1512,cyberguru,2017,Rev,5
196,1512,cyberguru,2017,Web,2
197,1512,cyberguru,2018,Crypt,5
198,1512,cyberguru,2018,Forensics,1
199,1512,cyberguru,2018,Pwn,3
200,1512,cyberguru,2018,Rev,3
201,1512,cyberguru,2018,Web,1
202,1512,cyberguru,2019,Rev,6
203,1512,cyberguru,2019,Web,1
204,1512,cyberguru,2020,Crypt,3
205,1512,cyberguru,2020,Pwn,2
206,1512,cyberguru,2020,Rev,1
207,1512,cyberguru,2020,Web,7
208,1512,cyberguru,2021,Crypt,1
209,1512,cyberguru,2021,Forensics,3
210,1512,cyberguru,2021,Rev,1
211,1512,cyberguru,2021,Web,5
212,1512,cyberguru,2022,Special,3
213,1512,cyberguru,2022,Web,2
214,2054,mbergeron,2015,Crypt,11
215,2054,mbergeron,2015,Forensics,23
216,2054,mbergeron,2015,Misc,23
217,2054,mbergeron,2015,Pwn,5
218,2054,mbergeron,2015,Rev,1
219,2054,mbergeron,2015,Web,35
220,2054,mbergeron,2016,Web,7
221,2054,mbergeron,2017,Forensics,6
222,2054,mbergeron,2017,Misc,1
223,2054,mbergeron,2017,Pwn,4
224,2054,mbergeron,2017,Rev,2
225,2054,mbergeron,2017,Web,22
226,2054,mbergeron,2018,Crypt,3
227,2054,mbergeron,2018,Forensics,1
228,2054,mbergeron,2018,Misc,2
229,2054,mbergeron,2018,Pwn,11
230,2054,mbergeron,2018,Web,10
231,2054,mbergeron,2019,Crypt,4
232,2054,mbergeron,2019,Forensics,25
233,2054,mbergeron,2019,Pwn,23
234,2054,mbergeron,2019,Rev,33
235,2054,mbergeron,2019,Web,10
236,2054,mbergeron,2020,Crypt,3
237,2054,mbergeron,2020,Forensics,1
238,2054,mbergeron,2020,Pwn,12
239,2054,mbergeron,2020,Rev,7
240,2054,mbergeron,2020,Web,8
241,2054,mbergeron,2021,Web,1
242,2054,mbergeron,2022,Special,2
243,2574,dysleixa,2015,Crypt,2
244,2574,dysleixa,2015,Forensics,1
245,2574,dysleixa,2015,Misc,4
246,2574,dysleixa,2015,Rev,1
247,2574,dysleixa,2015,Web,12
248,2574,dysleixa,2016,Crypt,14
249,2574,dysleixa,2016,Forensics,18
250,2574,dysleixa,2016,Misc,18
251,2574,dysleixa,2016,Pwn,18
252,2574,dysleixa,2016,Rev,12
253,2574,dysleixa,2016,Web,40
254,2574,dysleixa,2017,Crypt,5
255,2574,dysleixa,2017,Forensics,17
256,2574,dysleixa,2017,Misc,4
257,2574,dysleixa,2017,Pwn,9
258,2574,dysleixa,2017,Rev,3
259,2574,dysleixa,2017,Web,7
260,2574,dysleixa,2018,Crypt,4
261,2574,dysleixa,2018,Forensics,1
262,2574,dysleixa,2018,Rev,14
263,2574,dysleixa,2018,Web,7
264,2574,dysleixa,2019,Crypt,5
265,2574,dysleixa,2019,Forensics,3
266,2574,dysleixa,2019,Pwn,8
267,2574,dysleixa,2019,Web,2
268,2574,dysleixa,2020,Crypt,3
269,2574,dysleixa,2020,Web,2
270,2574,dysleixa,2021,Crypt,3
271,2574,dysleixa,2021,Forensics,7
272,2574,dysleixa,2021,Pwn,19
273,2574,dysleixa,2021,Rev,14
274,2574,dysleixa,2021,Web,20
275,2574,dysleixa,2022,Forensics,2
276,2574,dysleixa,2022,Pwn,17
277,2574,dysleixa,2022,Rev,8
278,2574,dysleixa,2022,Special,8
279,2574,dysleixa,2022,Web,1
280,2574,dysleixa,2023,Special,27
281,2574,dysleixa,2024,Special,11
282,2586,stamparm,2015,Crypt,15
283,2586,stamparm,2015,Forensics,34
284,2586,stamparm,2015,Misc,26
285,2586,stamparm,2015,Pwn,26
286,2586,stamparm,2015,Rev,24
287,2586,stamparm,2015,Web,60
288,2586,stamparm,2016,Crypt,4
289,2586,stamparm,2016,Forensics,3
290,2586,stamparm,2016,Pwn,19
291,2586,stamparm,2016,Rev,9
292,2586,stamparm,2016,Web,7
293,2586,stamparm,2017,Crypt,2
294,2586,stamparm,2017,Forensics,8
295,2586,stamparm,2017,Pwn,3
296,2586,stamparm,2017,Rev,6
297,2586,stamparm,2017,Web,3
298,2586,stamparm,2018,Crypt,4
299,2586,stamparm,2018,Forensics,4
300,2586,stamparm,2018,Pwn,3
301,2586,stamparm,2018,Rev,10
302,2586,stamparm,2018,Web,5
303,3229,GuilT,2015,Crypt,14
304,3229,GuilT,2015,Forensics,13
305,3229,GuilT,2015,Misc,23
306,3229,GuilT,2015,Pwn,23
307,3229,GuilT,2015,Rev,20
308,3229,GuilT,2015,Web,47
309,3229,GuilT,2016,Forensics,3
310,3229,GuilT,2016,Misc,3
311,3229,GuilT,2016,Pwn,26
312,3229,GuilT,2016,Rev,4
313,3229,GuilT,2016,Web,13
314,3229,GuilT,2017,Forensics,1
315,3229,GuilT,2017,Pwn,4
316,3229,GuilT,2017,Rev,2
317,3229,GuilT,2018,Rev,7
318,3229,GuilT,2018,Web,3
319,3229,GuilT,2019,Crypt,2
320,3229,GuilT,2019,Forensics,27
321,3229,GuilT,2019,Pwn,2
322,3229,GuilT,2019,Rev,9
323,3229,GuilT,2019,Web,3
324,3229,GuilT,2021,Web,6
325,3229,GuilT,2023,Special,6
326,3919,an0n,2015,Crypt,14
327,3919,an0n,2015,Forensics,35
328,3919,an0n,2015,Misc,26
329,3919,an0n,2015,Pwn,20
330,3919,an0n,2015,Rev,18
331,3919,an0n,2015,Web,58
332,3919,an0n,2016,Crypt,3
333,3919,an0n,2016,Forensics,7
334,3919,an0n,2016,Pwn,34
335,3919,an0n,2016,Rev,13
336,3919,an0n,2016,Web,9
337,3919,an0n,2017,Crypt,5
338,3919,an0n,2017,Forensics,4
339,3919,an0n,2017,Misc,1
340,3919,an0n,2017,Pwn,6
341,3919,an0n,2017,Rev,7
342,3919,an0n,2017,Web,3
343,5258,Corb3nik,2015,Crypt,8
344,5258,Corb3nik,2015,Forensics,9
345,5258,Corb3nik,2015,Rev,1
346,5258,Corb3nik,2015,Web,22
347,5258,Corb3nik,2016,Crypt,1
348,5258,Corb3nik,2016,Forensics,17
349,5258,Corb3nik,2016,Misc,26
350,5258,Corb3nik,2016,Pwn,35
351,5258,Corb3nik,2016,Rev,9
352,5258,Corb3nik,2016,Web,40
353,5258,Corb3nik,2017,Crypt,9
354,5258,Corb3nik,2017,Forensics,21
355,5258,Corb3nik,2017,Pwn,27
356,5258,Corb3nik,2017,Rev,24
357,5258,Corb3nik,2017,Web,9
358,5258,Corb3nik,2018,Crypt,1
359,5258,Corb3nik,2018,Forensics,2
360,5258,Corb3nik,2018,Pwn,2
361,5258,Corb3nik,2018,Rev,10
362,5258,Corb3nik,2018,Web,6
363,5258,Corb3nik,2019,Crypt,1
364,5258,Corb3nik,2019,Forensics,5
365,5258,Corb3nik,2019,Rev,9
366,5258,Corb3nik,2019,Web,5
367,5258,Corb3nik,2020,Crypt,4
368,5258,Corb3nik,2020,Forensics,1
369,5258,Corb3nik,2020,Pwn,2
370,5258,Corb3nik,2020,Rev,1
371,5258,Corb3nik,2020,Web,8
372,5258,Corb3nik,2021,Crypt,2
373,5258,Corb3nik,2021,Pwn,2
374,5258,Corb3nik,2021,Rev,1
375,5258,Corb3nik,2021,Web,3
376,5258,Corb3nik,2022,Special,1
377,5409,Superior,2015,Crypt,3
378,5409,Superior,2015,Forensics,12
379,5409,Superior,2015,Misc,8
380,5409,Superior,2015,Web,25
381,5409,Superior,2016,Web,1
382,5409,Superior,2017,Crypt,4
383,5409,Superior,2017,Forensics,5
384,5409,Superior,2017,Misc,6
385,5409,Superior,2017,Pwn,3
386,5409,Superior,2017,Web,4
387,5409,Superior,2018,Crypt,1
388,5409,Superior,2018,Forensics,1
389,5409,Superior,2018,Rev,1
390,5409,Superior,2019,Crypt,1
391,5409,Superior,2019,Forensics,4
392,5409,Superior,2019,Pwn,6
393,5409,Superior,2019,Web,3
